%BLOCK lattice_cart
8.6493225003  -0.0041067078  0.0470949615
-2.8839503292  8.5298654762  0.0494422281
-3.5461821387  -2.4541631591  8.2506575972
%ENDBLOCK lattice_cart

%BLOCK positions_abs
Fe  2.9766109815 1.4460685130 1.1979963551 # 2-mol % NUM=1
H  1.9924785317 9.0413393815 5.6772698675 # 1-mol % NUM=1
H  3.7338318025 9.2774653616 5.9584631317 # 1-mol % NUM=1
H  2.8898440765 7.9328848740 6.7381645207 # 1-mol % NUM=1
H  3.1763546370 8.2848896165 3.6964381090 # 1-mol % NUM=1
H  2.4163825006 6.9079598694 4.5128346287 # 1-mol % NUM=1
H  4.7915412430 6.5979987214 5.6572341357 # 1-mol % NUM=1
H  5.3848228163 7.7213619634 4.4292791345 # 1-mol % NUM=1
H  3.9808907273 3.9421020567 3.2276051485 # 1-mol % NUM=1
H  2.8748812930 5.0647585561 4.0258820444 # 1-mol % NUM=1
H  4.3905176387 4.7051803546 6.1778983159 # 1-mol % NUM=1
H  5.0775670079 3.3550194098 5.2815720927 # 1-mol % NUM=1
H  2.1138846956 3.7459285439 6.0436261184 # 1-mol % NUM=1
H  3.2174828303 2.4985029798 6.6491244866 # 1-mol % NUM=1
H  2.6711522255 2.4584933372 4.9572312929 # 1-mol % NUM=1
H  5.1480021916 5.4757762339 1.6422221593 # 1-mol % NUM=1
H  5.1697033064 7.1847597900 2.1179718396 # 1-mol % NUM=1
H  2.6187597079 7.1062925376 2.2379085323 # 1-mol % NUM=1
H  2.6568678042 5.3612577860 1.9467910784 # 1-mol % NUM=1
H  3.6666044681 7.4777603028 -0.0379685834 # 1-mol % NUM=1
H  2.1207132208 6.6065397534 -0.1149949474 # 1-mol % NUM=1
H  3.6445933599 5.7170230987 -0.3041806056 # 1-mol % NUM=1
H  6.3995811413 5.1766170113 4.9461995090 # 1-mol % NUM=1
H  6.8737579483 6.3172029502 3.6678786156 # 1-mol % NUM=1
H  7.1883880289 4.6710104714 2.0704373028 # 1-mol % NUM=1
H  5.9002354181 3.6292230445 2.6647977543 # 1-mol % NUM=1
H  8.6466613550 3.8865200897 4.0047384517 # 1-mol % NUM=1
H  8.0846415514 2.5660212177 2.9641799067 # 1-mol % NUM=1
H  7.3308502296 2.8157193932 4.5410041433 # 1-mol % NUM=1
C  2.9504095960 8.5228713127 5.8138328389 # 1-mol % NUM=1
C  3.2245102461 7.6491159919 4.5900971820 # 1-mol % NUM=1
C  4.5968955754 6.9911265039 4.6532925727 # 1-mol % NUM=1
C  3.8967910750 4.6688771938 4.0427572087 # 1-mol % NUM=1
C  4.1797983601 3.9831368467 5.3769971515 # 1-mol % NUM=1
C  2.9791513066 3.1218001244 5.7770611067 # 1-mol % NUM=1
C  4.6259466543 6.2366225067 2.2367380070 # 1-mol % NUM=1
C  3.1848326456 6.3056347388 1.7471637743 # 1-mol % NUM=1
C  3.1592953619 6.5423922941 0.2348171084 # 1-mol % NUM=1
C  6.2871339848 5.4132502392 3.8793082742 # 1-mol % NUM=1
C  6.7443520167 4.2542004724 2.9865597505 # 1-mol % NUM=1
C  7.7557338294 3.3362978205 3.6723027867 # 1-mol % NUM=1
N  4.8245701768 5.8240057216 3.6992225500 # 1-mol % NUM=1
Cl  3.6301046650 1.9408020076 -0.8726355506 # 2-mol % NUM=1
Cl  1.7977798127 -0.4236103744 1.4540328310 # 2-mol % NUM=1
Cl  4.8814725716 1.3608155050 2.3550675260 # 2-mol % NUM=1
Cl  1.7326145737 3.1739703975 1.8622164388 # 2-mol % NUM=1
%ENDBLOCK positions_abs

#MINSEP=2.0 Fe-Cl=2.23 H-C=1.1 C-C=1.52 C-N=1.52


---

      Step     Time          Energy          fmax
FIRE:    0 16:57:19     -188.973716       56.607804
FIRE:    1 16:57:22     -202.976180       25.583077
FIRE:    2 16:57:25     -209.634576       15.164942
FIRE:    3 16:57:28     -213.878355       12.010827
FIRE:    4 16:57:31     -216.980421       10.559172
FIRE:    5 16:57:34     -219.565820        9.598345
FIRE:    6 16:57:37     -221.833058        7.527130
FIRE:    7 16:57:40     -224.018372        6.247252
FIRE:    8 16:57:43     -226.154069        5.028611
FIRE:    9 16:57:45     -228.332780        4.337242
FIRE:   10 16:57:48     -230.390456        4.361217
FIRE:   11 16:57:51     -232.129622        3.945341
FIRE:   12 16:57:54     -233.442797        3.925055
FIRE:   13 16:57:56     -234.474355        3.811726
FIRE:   14 16:57:59     -235.440022        3.620076
FIRE:   15 16:58:02     -236.449141        3.498587
FIRE:   16 16:58:04     -237.388332        2.718013
FIRE:   17 16:58:07     -238.069267        1.794402
FIRE:   18 16:58:10     -238.470713        2.446759
FIRE:   19 16:58:12     -238.730878        3.338523
FIRE:   20 16:58:16     -239.083738        3.698153
FIRE:   21 16:58:19     -239.554760        2.434705
FIRE:   22 16:58:21     -239.919355        2.117797
FIRE:   23 16:58:24     -240.113607        2.585586
FIRE:   24 16:58:27     -240.341156        2.525240
FIRE:   25 16:58:29     -240.757363        0.778393
FIRE:   26 16:58:32     -240.675262        2.276647
FIRE:   27 16:58:34     -240.804698        1.845970
FIRE:   28 16:58:37     -240.955739        0.973884
FIRE:   29 16:58:40     -241.018779        0.740380
FIRE:   30 16:58:42     -241.023670        0.713122
FIRE:   31 16:58:45     -241.033036        0.661862
FIRE:   32 16:58:47     -241.046175        0.627597
FIRE:   33 16:58:50     -241.062297        0.620207
FIRE:   34 16:58:53     -241.080700        0.610068
FIRE:   35 16:58:55     -241.101055        0.599025
FIRE:   36 16:58:58     -241.123406        0.582085
FIRE:   37 16:59:01     -241.150715        0.572182
FIRE:   38 16:59:03     -241.184648        0.562970
FIRE:   39 16:59:06     -241.226893        0.555316
FIRE:   40 16:59:09     -241.278593        0.536716
FIRE:   41 16:59:11     -241.339571        0.513689
FIRE:   42 16:59:14     -241.409125        0.494100
FIRE:   43 16:59:17     -241.487453        0.463101
FIRE:   44 16:59:19     -241.576113        0.445060
FIRE:   45 16:59:22     -241.674621        0.431402
FIRE:   46 16:59:25     -241.780718        0.436001
FIRE:   47 16:59:28     -241.895150        0.432944
FIRE:   48 16:59:30     -242.017260        0.425202
FIRE:   49 16:59:32     -242.145050        0.496294
FIRE:   50 16:59:34     -242.284707        0.559216
FIRE:   51 16:59:36     -242.441341        0.619581
FIRE:   52 16:59:38     -242.608658        0.629545
FIRE:   53 16:59:41     -242.779988        0.658894
FIRE:   54 16:59:43     -242.947853        0.535105
FIRE:   55 16:59:45     -243.077113        0.388346
FIRE:   56 16:59:47     -243.136249        1.002978
FIRE:   57 16:59:49     -243.155288        0.818625
FIRE:   58 16:59:51     -243.180666        0.505586
FIRE:   59 16:59:53     -243.203631        0.355581
FIRE:   60 16:59:56     -243.222254        0.359421
FIRE:   61 16:59:58     -243.238836        0.373158
FIRE:   62 17:00:00     -243.258446        0.390405
FIRE:   63 17:00:02     -243.283012        0.397265
FIRE:   64 17:00:04     -243.314357        0.392662
FIRE:   65 17:00:06     -243.353049        0.367194
FIRE:   66 17:00:08     -243.395953        0.305676
FIRE:   67 17:00:10     -243.439142        0.283814
FIRE:   68 17:00:12     -243.483691        0.434191
FIRE:   69 17:00:14     -243.539558        0.347395
FIRE:   70 17:00:16     -243.601019        0.223266
FIRE:   71 17:00:18     -243.651753        0.421993
FIRE:   72 17:00:20     -243.668511        1.232468
FIRE:   73 17:00:23     -243.718390        0.249722
FIRE:   74 17:00:26     -243.719158        0.246434
FIRE:   75 17:00:29     -243.720540        0.239850
FIRE:   76 17:00:31     -243.722317        0.230408
FIRE:   77 17:00:34     -243.724422        0.218764
FIRE:   78 17:00:36     -243.726879        0.206723
FIRE:   79 17:00:39     -243.729643        0.194841
FIRE:   80 17:00:42     -243.732604        0.185292
FIRE:   81 17:00:44     -243.736004        0.177533
FIRE:   82 17:00:47     -243.739952        0.172443
FIRE:   83 17:00:49     -243.744800        0.168889
FIRE:   84 17:00:52     -243.750722        0.167168
FIRE:   85 17:00:55     -243.758092        0.167624
FIRE:   86 17:00:57     -243.767217        0.164039
FIRE:   87 17:01:00     -243.777921        0.160242
FIRE:   88 17:01:03     -243.790248        0.158687
FIRE:   89 17:01:05     -243.804286        0.156535
FIRE:   90 17:01:08     -243.820342        0.140143
FIRE:   91 17:01:10     -243.838570        0.129303
FIRE:   92 17:01:11     -243.858135        0.131478
FIRE:   93 17:01:13     -243.876209        0.378544
FIRE:   94 17:01:15     -243.883535        1.006729
FIRE:   95 17:01:18     -243.899240        0.089324
